usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
67380	60M太陽1917_01020	45550	10040	PM11_00943	5600	上段の「旨」は、形容詞「旨い」ではありません	1.0
128360	60M太陽1895_04012	84110	18490	PM26_00003	11570	1.0	前半の問題文の「甘く」を「うまく」と読む例を知らなかったので、うまく読み取れません
19550	60M太陽1909_04024	13510	39940	PM15_00236	22770	2.0	3.0
85810	60M太陽1909_01058	56780	7270	PM21_00649	4670	上段は、形容詞「旨い」ではありません	前半は「かみて」と読めそうです
21520	60M太陽1925_02074	14450	50540	PM25_00084	30790	4.0	4.0
80760	60M太陽1925_03061	56620	40990	PM41_00658	23410	4.0	3.0
48930	60M太陽1925_03072	32990	25810	PM41_00056	16520	4.0	4.0
11570	60M太陽1901_03024	7980	12320	PM31_00999	7500	1.0	2.0
2460	60M太陽1895_07052	1630	12330	PM41_00596	6920	上段は、形容詞「旨い」ではありません。	1.0
104820	60M太陽1901_09023	73390	10720	PM52_00021	6860	4.0	3.0
4390	60M太陽1901_02055	2990	25160	PM32_00049	15140	3.0	4.0
2820	60M明六1874_23001	1930	39190	PM31_00177	23450	1.0	2.0
18170	60M婦倶1925_12099	12660	990	PM31_00553	600	1.0	3.0
52680	60M太陽1925_04069	36090	14530	PM21_00675	8140	4.0	3.0
34160	60M太陽1917_08037	22980	44570	PM33_00027	29210	1.0	2.0
20630	60M太陽1909_10006	13690	44250	PM21_01161	28370	2.0	2.0
16240	60M婦倶1925_12099	11410	31530	PM51_00491	19760	1.0	3.0
7350	60M太陽1901_05012	4870	910	PM31_00553	570	4.0	3.0
9990	60M女世1909_08034	6910	65220	PM41_00251	34160	3.0	3.0
34940	60M太陽1925_03031	23560	87320	PM31_00177	53100	2.0	3.0
