usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
156650	60M婦倶1925_06024	103400	18050	PM11_00931	11400	3.0	3.0
31330	60M太陽1909_04019	21510	18270	PM51_00227	10980	3.0	3.0
10580	60M太陽1925_04057	7050	21990	PM31_00303	14090	3.0	2.0
3160	60M女雑1895_02005	2100	5450	PM11_00144	3730	3.0	2.0
30970	60M太陽1925_13049	21840	33460	PM32_00033	21340	4.0	3.0
810	60M女雑1894_43005	550	72670	PM22_00020	43660	2.0	3.0
67120	60M太陽1917_05022	47450	18050	PM11_00931	11400	上段の文章は、文脈から「警戒」の意味がとりにくい。	2.0
8300	60M太陽1925_01139	5550	78600	PM32_00102	47100	3.0	3.0
20370	60M太陽1895_07014	13910	8550	PM11_00034	4850	4.0	3.0
11520	60M女雑1895_02005	7720	11240	PM31_00737	7400	2.0	4.0
7240	60M太陽1925_01139	4850	27260	PM33_00054	16660	3.0	2.0
124410	60M太陽1895_03040	87830	84340	PM55_00005	47920	4.0	2.0
13050	60M太陽1909_13024	8910	11350	PM11_00639	7600	3.0	4.0
44990	60M太陽1895_12016	30260	21450	PM51_00823	12700	3.0	2.0
69370	60M太陽1895_07012	47460	15860	PM11_00917	8660	2.0	3.0
4620	60M国民1887_01018	3060	84340	PM55_00005	47920	3.0	2.0
2030	60M太陽1895_08002	1320	19170	PM42_00123	11980	3.0	2.0
80	60M女雑1895_12001	60	72670	PM22_00020	43660	2.0	2.0
5910	60M太陽1925_01031	3950	39930	PM31_00197	25180	3.0	3.0
41460	60M太陽1925_12069	29600	61440	PM45_00132	35840	3.0	3.0
