usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
12520	70M文春1973_10015	8130	26580	PM45_00253	15210	上段の文章は、文脈から「モデル」の意味が取りにくい。	3.0
292940	70M中公1957_09003	178780	7400	PM25_00001	4150	3.0	2.0
38330	70M文春1973_09040	23100	15350	PM55_00027	8600	1.0	1.0
111760	70M中公1941_02020	73470	19090	PM45_00072	10280	1.0	1.0
41510	70M中公1957_09003	25900	7590	80M文春2005_02002	5320	2.0	4.0
391940	70M中公1933_11047	261690	12660	80M文春1989_10036	8540	3.0	3.0
13430	70M文春1973_10015	8720	7300	PM41_00172	4230	3.0	2.0
121680	70M中公1957_12029	76760	17420	PM15_00086	10760	3.0	3.0
30050	70M中公1933_08027	21150	69650	PM11_00563	42130	4.0	3.0
115920	70M中公1957_02002	72850	16400	PM15_00036	9900	3.0	2.0
156450	70M中公1957_05007	96690	51560	PM25_00098	29440	3.0	1.0
136960	70M文春1973_07022	84260	81900	PM11_00201	47180	1.0	2.0
51410	70M中公1933_12038	33900	5270	PM45_00092	2960	1.0	2.0
88250	70M文春1973_07018	57740	6440	PM31_00250	3320	1.0	2.0
25350	70M文春1973_06025	16210	12860	PM41_00158	7260	2.0	3.0
86660	70M中公1941_09030	59970	9040	PM13_00021	5380	2.0	3.0
75300	70M中公1933_07036	52440	21810	PM21_00725	13090	上段の文章は、前後の文脈から「モデル」の意味が取りにくい。	2.0
141390	70M中公1941_01030	97770	28180	PM11_00160	14500	3.0	4.0
99530	70M中公1957_12021	65810	32560	PM35_00078	18230	3.0	2.0
132900	70M文春1973_07022	81760	11740	PM31_00090	6420	1.0	2.0
