usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
14080	60M太陽1909_14037	9510	18380	PM41_00263	11630	下段の文章は、「遺憾」の意味ではありません。	1.0
83300	60M太陽1917_08033	55810	18380	PM41_00263	11630	下段の文章は、「遺憾」の意味ではありません。	1.0
12700	60M太陽1909_12007	8440	31790	PM55_00028	18250	2.0	2.0
77100	60M太陽1917_10013	49350	18380	PM41_00263	11630	下段の文章は、「遺憾」の意味ではありません。	1.0
5960	60M太陽1925_02006	3960	32210	PM11_00736	20800	2.0	4.0
154850	60M太陽1895_12004	105490	2330	PM22_00047	1610	3.0	3.0
470	60M太陽1917_09012	320	31790	PM55_00028	18250	4.0	4.0
78540	60M太陽1917_01020	53290	2330	PM22_00047	1610	3.0	3.0
7140	60M太陽1925_11054	4740	26800	PM11_00482	15480	4.0	3.0
94800	60M太陽1917_01026	65070	32210	PM11_00736	20800	2.0	2.0
2300	60M太陽1901_03014	1550	99370	PM31_00283	58260	2.0	3.0
8710	60M太陽1925_07014	5960	32210	PM11_00736	20800	2.0	2.0
108750	60M太陽1909_14012	74490	31790	PM55_00028	18250	2.0	3.0
23510	60M太陽1895_05011	15540	99370	PM31_00283	58260	2.0	2.0
16790	60M太陽1909_12048	11470	26800	PM11_00482	15480	4.0	4.0
45470	60M太陽1925_04090	29750	31790	PM55_00028	18250	2.0	2.0
30610	60M太陽1917_06001	19980	32990	PM11_00623	21520	4.0	3.0
3270	60M国民1887_12017	2170	2330	PM22_00047	1610	3.0	3.0
57400	60M太陽1925_07062	40320	26800	PM11_00482	15480	上段の文章は、「遺憾」の意味ではありません。	1.0
32630	60M太陽1895_09043	21770	2330	PM22_00047	1610	3.0	3.0
