usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
92250	60M婦倶1925_12020	60850	126810	60M太陽1909_10027	87660	4.0	4.0
2070	60M太陽1909_02017	1380	25210	60M太陽1909_02004	16860	4.0	4.0
1500	60M太陽1895_05041	1000	7770	60M太陽1909_02060	5340	4.0	3.0
10140	60M女世1909_03021	7050	190	60M太陽1909_04035	140	4.0	3.0
20	60M太陽1909_02017	20	54220	60M太陽1909_16057	36320	4.0	4.0
28910	60M太陽1917_05030	19890	40920	60M女世1909_10021	29010	4.0	後者の「電車」は文脈から心象表現にも読めるため判断できません
69010	60M太陽1909_11036	46710	14680	60M太陽1909_02004	9830	3.0	3.0
15840	60M太陽1917_04041	10730	4330	60M太陽1925_02018	2820	2.0	4.0
5110	60M女世1909_16041	3240	10	60M太陽1925_04053	10	4.0	4.0
39190	60M婦倶1925_06035	25580	2280	60M女世1909_03017	1520	3.0	2.0
37820	60M太陽1909_05043	24890	2800	60M太陽1925_10052	1860	4.0	3.0
64990	60M太陽1909_12008	43590	25210	60M太陽1909_11040	16940	4.0	4.0
85510	60M婦倶1925_12020	56500	23940	60M太陽1917_05030	16460	4.0	3.0
177160	60M婦倶1925_12020	117700	4540	60M太陽1895_05041	3010	2.0	3.0
7780	60M太陽1895_05041	5200	78120	60M婦倶1925_12020	51550	2.0	3.0
3850	60M婦倶1925_03051	2630	5010	60M太陽1909_01046	3440	4.0	3.0
8030	60M太陽1917_12049	5510	9860	60M太陽1909_14008	6300	3.0	3.0
30020	60M太陽1895_05041	19570	101070	60M太陽1909_02017	67750	4.0	4.0
5700	60M太陽1909_16010	3820	16150	60M太陽1925_03044	11310	3.0	3.0
18710	60M女世1909_08013	12530	66900	60M太陽1909_12008	44820	3.0	4.0
