usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
28390	70M中公1941_05025	19290	229480	80M文春1997_04071	150220	1.0	2.0
36160	70M中公1933_05010	24710	7480	80M文春2013_10125	4870	1.0	2.0
95620	70M文春1973_16018	59130	15250	PM51_01352	9880	3.0	3.0
8920	70M中公1957_14040	5530	6100	80M文春1997_09038	4020	4.0	4.0
41490	70M文春1973_03022	24570	3660	80M文春1989_02145	2390	3.0	3.0
18780	70M中公1949_11003	11720	102960	70M文春1981_07036	65700	4.0	4.0
24040	70M文春1973_15066	15330	60980	80M文春2005_08025	39170	3.0	3.0
121090	70M中公1933_07052	81460	46760	80M文春2013_04103	30700	3.0	2.0
51310	70M文春1965_12020	33160	20490	PM25_00051	11400	4.0	3.0
73610	70M中公1949_12018	49840	1990	70M文春1981_01083	1300	4.0	4.0
14590	70M中公1957_06018	9400	101140	80M文春2013_09014	67210	3.0	3.0
82990	70M中公1957_14045	50480	20310	80M文春2005_03094	12490	1.0	2.0
19510	70M中公1941_06018	13120	3270	PM21_01409	1600	1.0	2.0
72960	70M中公1941_06016	53770	67300	80M文春1997_12042	43040	上段の文章は、「旨い」の意味ではない。	2.0
90460	70M中公1941_02031	59850	5900	80M文春2005_03064	3640	3.0	3.0
10080	70M中公1957_11047	6530	13560	PM11_00805	8310	3.0	1.0
91900	70M中公1941_06016	67960	53380	70M文春1981_05016	35630	1.0	2.0
4790	70M文春1965_06036	3190	21410	PM55_00084	12780	3.0	3.0
268710	70M中公1949_04016	172720	130700	70M文春1981_10052	85750	1.0	2.0
88830	70M中公1933_02047	59590	25830	PM45_00033	15790	4.0	3.0
