usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
145110	60M太陽1909_13032	96280	179680	60M太陽1909_13032	119450	4.0	4.0
16040	60M太陽1909_13032	10610	16230	60M太陽1909_13032	10740	4.0	4.0
26020	60M太陽1909_13032	17160	39430	60M太陽1909_16030	25480	下段の文章は、文脈から「モデル」の意味が取りにくい。	2.0
9600	60M女世1909_05008	6890	141760	60M太陽1909_13032	94020	4.0	後半のモデルは文脈からどの意味にあたるか読み取れません。
275670	60M太陽1909_13032	181080	63370	60M太陽1909_13032	41940	4.0	3.0
170790	60M太陽1909_13032	113480	50690	60M太陽1909_13032	33450	4.0	4.0
68430	60M太陽1909_13032	45200	132210	60M太陽1909_13032	87570	4.0	4.0
29190	60M女世1909_16018	20020	66060	60M太陽1909_13032	43690	4.0	3.0
25980	60M太陽1917_01038	17930	181460	60M太陽1909_13032	120700	3.0	後半のモデルは文脈からどの意味にあたるか読み取れません。
34800	60M太陽1909_13032	22990	281050	60M太陽1909_13032	184750	4.0	4.0
63970	60M太陽1909_13032	42320	4130	60M太陽1909_12057	2740	1.0	2.0
42550	60M太陽1917_10010	28760	17360	60M太陽1909_13032	11480	3.0	2.0
34290	60M女世1909_05023	23550	43120	60M太陽1909_13032	28410	1.0	2.0
129120	60M太陽1909_13032	85560	127190	60M太陽1909_13032	84320	4.0	4.0
960	60M太陽1925_11098	670	43650	60M太陽1909_16030	28290	下段の文章は、文脈から「モデル」の意味が取りにくい。	3.0
33310	60M太陽1917_06028	21440	154380	60M太陽1909_13032	102370	上段の文章は、タイトルだけでは「モデル」の意味が特定できない	2.0
43750	60M太陽1909_13032	28860	283030	60M太陽1909_13032	186090	4.0	3.0
38660	60M太陽1909_16033	24910	284570	60M太陽1909_13032	187040	1.0	3.0
130790	60M太陽1909_13032	86610	21830	60M女世1909_05008	14960	4.0	3.0
66900	60M太陽1909_13032	44270	128450	60M太陽1909_13032	85170	4.0	4.0
