usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
4630	PM51_00602	2640	58590	PM21_00644	33670	1.0	1.0
55640	PM11_00204	30450	81540	PM41_00251	42630	1.0	1.0
56480	PM41_01185	33010	25470	PM31_00672	15490	2.0	3.0
34540	PM21_00479	21420	20640	PM11_00468	13100	1.0	2.0
10960	PM22_00015	6980	17870	PM11_00407	11220	1.0	2.0
86330	PM45_00033	50800	7720	PM51_00106	4610	3.0	4.0
38270	PM11_00231	21890	62160	PM11_00633	38750	3.0	3.0
1580	PM42_00003	1030	1730	PM35_00117	890	2.0	2.0
9470	PM45_00039	5620	26860	PM51_00739	16900	1.0	1.0
63930	PM51_00077	35370	99840	PM52_00073	64310	1.0	2.0
46510	PM31_00108	28980	66720	PM22_00020	40070	3.0	4.0
9800	PM31_00932	6770	38130	PM31_00028	24640	3.0	4.0
89850	PM41_00427	51670	30250	PM21_00472	18120	1.0	2.0
47520	PM51_01204	29640	12150	PM31_00516	7680	3.0	1.0
31310	PM11_00468	19750	15590	PM41_00271	10150	4.0	4.0
30990	PM11_00623	20290	3450	PM41_00104	2050	4.0	4.0
56260	PM11_00489	30890	17440	PM32_00068	11300	2.0	3.0
330	PM21_00389	180	21150	PM31_00726	13600	2.0	3.0
2880	PM31_01401	2010	28580	PM45_00041	16560	4.0	3.0
53960	PM51_00549	34670	34060	PM11_00070	21860	2.0	4.0
