usage1_CharacterStartingPosition	usage1_SampleID	usage1_SequenceNumber	usage2_CharacterStartingPosition	usage2_SampleID	usage2_SequenceNumber	worker1	worker4
30980	60M太陽1925_13053	21580	5700	60M太陽1925_04067	4050	下段は、形容詞「旨い」ではありません。	1.0
20870	60M太陽1925_11048	14350	4870	60M国民1888_31020	3270	4.0	3.0
8530	60M太陽1925_05051	5600	630	60M女世1909_03042	440	1.0	1.0
35780	60M太陽1901_09002	23500	81560	60M太陽1917_14040	56860	4.0	4.0
28910	60M太陽1917_13007	19220	10410	60M太陽1925_09040	6720	2.0	2.0
1640	60M太陽1909_02031	1210	16370	60M太陽1909_14031	11470	1.0	3.0
25900	60M女世1909_16017	17660	13200	60M国民1887_10006	8600	1.0	2.0
16040	60M女世1909_16043	10520	9370	60M太陽1925_13043	6150	2.0	3.0
49730	60M太陽1901_12010	33620	75710	60M太陽1901_03023	53850	2.0	2.0
3320	60M婦倶1925_03052	2420	46930	60M太陽1925_09052	31000	1.0	2.0
32810	60M太陽1925_05051	21500	1030	60M女世1909_10078	760	4.0	3.0
1840	60M婦倶1925_12062	1240	26400	60M太陽1901_07019	18330	2.0	3.0
89360	60M太陽1909_05025	64330	16480	60M太陽1901_05030	11630	1.0	1.0
14640	60M太陽1895_12047	10600	430	60M太陽1909_04043	320	1.0	2.0
35670	60M太陽1917_01037	23630	51660	60M太陽1925_04012	35710	下段は、形容詞「旨い」ではありません。	1.0
75850	60M太陽1925_13057	49020	50570	60M太陽1925_04069	34700	3.0	3.0
7650	60M婦倶1925_03070	5200	50360	60M太陽1925_12017	32330	1.0	2.0
12910	60M太陽1909_10035	8740	85720	60M太陽1925_12071	57880	3.0	2.0
31190	60M太陽1909_04023	21550	49870	60M太陽1901_04021	33890	4.0	4.0
52190	60M太陽1925_05051	34010	71500	60M婦倶1925_03119	49330	4.0	4.0
